2011 UV63							1.19	0.13	9.8
2013 AX52							1.2	0.12	32.6
-417419							1.2	0.13	9.4
2010 SH13							1.21	0.14	13.9
2004 PS42							1.24	0.17	23.2
2014 JN57							1.24	0.17	28.6
2006 KQ1							1.24	0.18	9.6
2015 BP515							1.25	0.17	17.7
2015 LG2							1.26	0.18	21.3
2015 XA352							1.27	0.17	4.1
2013 CU83							1.28	0.18	10.4
-67367							1.31	0.21	9
2008 HS3							1.35	0.23	8.2
2014 TY33							1.41	0.26	18.7
2006 TB							1.56	0.32	27.6
2002 PF43							1.64	0.37	13.9
2012 OO							1.7	0.38	4.8
-380981							1.73	0.4	9.7
2004 RQ10							1.86	0.44	5.7
2002 AT4							1.87	0.45	1.5
2007 DS84							1.87	0.45	8.9
-391211							1.9	0.45	12.4
2011 TN9							1.9	0.45	4.1
2012 UR136							1.92	0.46	6.1
2012 QQ10							1.93	0.47	4
2008 DD							1.94	0.46	15.3
2000 QW7							1.95	0.47	4.2
2002 KK8							1.95	0.47	24.5
2005 EK94							1.98	0.48	14.2
-39572							2.04	0.49	10
2003 MU							2.05	0.5	5.9
-38071							2.09	0.51	12.7
2014 WD201							2.1	0.5	8.5
2015 JY1							2.11	0.5	8.5
-212546							2.13	0.52	7.4
2015 RS1							2.14	0.51	8
2006 HW57							2.15	0.52	7.1
2014 MP5							2.16	0.52	9.8
2011 OA							2.16	0.52	9.2
2004 SS							2.2	0.53	6.5
-348400							2.22	0.54	10.9
2015 MT96							2.26	0.54	10.4
2014 KS40							2.29	0.54	2.9
-200840							2.32	0.56	1.9
2000 PP9							2.33	0.55	5.6
-138524							2.36	0.57	6.2
2002 QH10							2.36	0.56	4.8
2005 EW169							2.38	0.57	1.5
-285263							2.42	0.57	12.9
2002 PR1							2.49	0.59	6.6
2011 RJ1							2.55	0.59	6.8
2012 LZ1							2.56	0.59	26.1
2010 LG64							2.67	0.61	42.3
2008 EC69							2.76	0.62	24.8
2004 KE17							2.77	0.62	26.9
2007 XK11							2.77	0.62	3.4
2006 LK							2.86	0.64	10.2
2003 XM							3.2	0.68	5.6
