-255071	1	0.63	2.6
-441987	1	0.37	11.7
-138175	1	0.29	5.2
-164207	1	0.14	13.6
-419624	1	0.08	14.5
2015 BN509	1.01	0.57	4.2
2014 KQ76	1.01	0.42	4.8
2009 FY4	1.01	0.33	21
-85990	1.01	0.31	5.3
1999 LS7	1.01	0.3	13.1
-277475	1.01	0.24	9.8
2010 CO1	1.01	0.22	24
-454094	1.01	0.14	11.9
-418849	1.01	0.11	33.5
-439437	1.02	0.55	6.5
(4581) Asclepius	1.02	0.36	4.9
2001 FC58	1.02	0.34	6.8
-367248	1.02	0.14	19.9
2005 LX36	1.03	0.58	33
2010 DA	1.03	0.57	20.5
2012 QG42	1.03	0.37	6.8
2015 JA2	1.03	0.35	16.4
-138971	1.03	0.33	7.9
2000 AF205	1.03	0.28	2.4
-443103	1.03	0.19	21.5
-365071	1.03	0.07	45.9
-267221	1.04	0.66	1.7
2007 SQ6	1.04	0.15	9.1
2001 VC2	1.04	0.13	12.5
2003 MS2	1.04	0.13	20
-207945	1.04	0.12	8.7
2004 XO	1.04	0.1	26
2005 TF49	1.04	0.03	24.6
-365014	1.05	0.6	6.6
-310560	1.05	0.5	26.6
-286080	1.05	0.48	2.8
-175706	1.05	0.35	2
2008 JG	1.05	0.3	7.9
-263976	1.05	0.26	13.5
-385252	1.05	0.18	50.1
2004 XP14	1.05	0.16	33
2004 LB	1.05	0.05	37.3
2009 CB3	1.06	0.72	21.5
(4769) Castalia	1.06	0.48	8.9
(4034) Vishnu	1.06	0.44	11.2
-68950	1.06	0.34	25.2
2005 GL	1.06	0.31	15.9
-434196	1.06	0.13	19.8
2007 GS3	1.06	0.13	15.1
2011 YJ28	1.06	0.09	27.1
2010 JJ41	1.07	0.67	3.3
2008 XW2	1.07	0.44	26.5
2002 JE9	1.07	0.42	8.8
-350751	1.07	0.26	0.6
-192559	1.07	0.23	10.1
2015 GY	1.07	0.2	11.8
-444193	1.07	0.19	24.8
-444004	1.07	0.17	17.2
2000 TU28	1.07	0.18	15.6
2015 JF11	1.07	0.11	5.4
2008 LW16	1.07	0.1	29.7
(1566) Icarus	1.08	0.83	22.8
2004 WK1	1.08	0.73	34.5
-171576	1.08	0.58	17.3
-357622	1.08	0.54	3.2
2007 TS19	1.08	0.5	15.6
-154275	1.08	0.49	11.6
-242450	1.08	0.48	37
2012 RG15	1.08	0.45	48.9
(11500) Tomaiyowit	1.08	0.36	10.3
2011 WL2	1.08	0.28	14.1
2005 VR7	1.08	0.29	25.2
-433953	1.08	0.2	7.2
2003 MK4	1.08	0.18	22.3
-416195	1.08	0.16	26.9
2008 BD15	1.08	0.14	32.2
1999 FA	1.08	0.13	12
-363067	1.08	0.09	15.3
-141525	1.09	0.72	34
2008 SC	1.09	0.7	16.9
-162882	1.09	0.58	6.5
-162120	1.09	0.57	2.1
-65909	1.09	0.54	3.6
-366746	1.09	0.46	18.3
-143649	1.09	0.19	62.1
1999 SO5	1.09	0.07	13.4
2012 KA4	1.1	0.78	5.8
-226514	1.1	0.62	2.6
2008 DL5	1.1	0.47	18.6
-374855	1.1	0.45	16.7
2013 HT15	1.1	0.42	2.9
2011 LT17	1.1	0.29	20.9
2010 UD	1.1	0.26	26.3
2013 AS27	1.1	0.23	33.6
2004 TB10	1.1	0.09	22.5
-141495	1.11	0.8	2.4
-215588	1.11	0.68	3.1
-154590	1.11	0.4	1.4
2011 JD1	1.11	0.36	22
-164121	1.11	0.29	44.1
