-66391				0.64	0.69	38.9
-202683				0.64	0.56	3.4
-138127				0.66	0.53	26.5
-437844				0.67	0.67	2
2006 JF42				0.67	0.58	6
1994 XL1				0.67	0.53	28.2
-364136				0.68	0.75	10.2
2010 PK9				0.68	0.68	12.6
2001 YE4				0.68	0.54	4.8
2012 DK31				0.69	0.58	11.2
-417217				0.71	0.55	19.6
2004 KH17				0.71	0.5	22.1
-33342				0.72	0.42	7.4
2002 VE68				0.72	0.41	9
2007 AG				0.72	0.37	11.9
2016 CL136				0.73	0.62	21.6
2003 KO2				0.73	0.51	23.5
2010 XC15				0.74	0.42	8.4
-415713				0.74	0.37	7
2005 YQ96				0.74	0.33	22.2
2008 EY68				0.75	0.76	19.8
2014 YR15				0.75	0.41	5.7
-264357				0.75	0.36	8.6
-308242				0.75	0.34	24.9
-163243				0.76	0.6	20.3
2004 XL14				0.76	0.41	21.5
1994 WR12				0.76	0.4	6.8
2007 ML24				0.76	0.36	33.4
2012 XS111				0.77	0.5	7.6
2008 CN1				0.77	0.35	7.2
2002 JX8				0.77	0.31	4.3
2008 TC4				0.78	0.55	10.6
2011 GM44				0.78	0.52	49.3
2002 AY1				0.78	0.44	29.9
-413260				0.78	0.38	12.1
2005 GR33				0.78	0.38	27.9
-363505				0.78	0.34	3.8
2015 KJ122				0.79	0.75	5.1
2006 BX147				0.79	0.71	12.9
-302169				0.8	0.78	25.4
2006 QQ23				0.8	0.28	3.4
-297418				0.81	0.47	10.3
-363027				0.82	0.53	21.1
2007 EF				0.82	0.41	21.7
2015 YU7				0.82	0.41	7.2
-230111				0.82	0.37	17.5
2009 UY17				0.82	0.32	42.1
2006 VG13				0.82	0.3	5.9
-453563				0.82	0.28	10
2000 ED14				0.83	0.57	13.8
2012 OD1				0.83	0.5	42.3
-401954				0.83	0.29	1.3
-163899				0.83	0.21	8.5
(2340) Hathor				0.84	0.45	5.9
2002 LT38				0.84	0.31	6.2
2009 FU23				0.84	0.28	13.9
2005 XT77				0.84	0.27	17.2
2006 TU7				0.85	0.47	2.9
1998 VF32				0.85	0.44	23.7
2008 KV2				0.85	0.41	5.1
-390725				0.85	0.38	18.1
2006 HV5				0.85	0.32	33
-422686				0.85	0.29	4.7
2014 HQ124				0.85	0.26	26.4
-87684				0.86	0.64	19.2
2015 FQ117				0.86	0.62	4.6
2009 XZ1				0.86	0.53	8.2
-310442				0.86	0.42	3.3
2005 MO13				0.86	0.41	6.3
-398188				0.86	0.27	13.2
2009 WZ104				0.86	0.19	9.8
-348306				0.87	0.57	5.9
-252399				0.87	0.55	15.2
2003 AF23				0.87	0.43	23.2
2016 AF193				0.87	0.29	6.5
2016 AK193				0.87	0.27	17.4
-152637				0.87	0.21	16.7
2003 GQ22				0.87	0.18	17
2016 BC14				0.87	0.18	8.4
-85989				0.88	0.63	17.1
-306383				0.88	0.55	2.1
(326290) Akhenaten				0.88	0.44	3.4
-163348				0.88	0.43	5.4
-162361				0.88	0.41	2.7
2003 YX1				0.88	0.27	5.8
2007 HA				0.89	0.47	33
-250680				0.89	0.36	9.4
2010 PW58				0.89	0.21	14.2
2011 OB				0.9	0.52	27.7
1998 SZ27				0.9	0.5	23.4
2010 BK2				0.9	0.45	6
2010 JE87				0.9	0.44	16.9
2013 CW32				0.9	0.38	26.1
2010 XX72				0.9	0.28	4.5
-425755				0.91	0.87	9.5
1995 CR				0.91	0.87	4.1
-153201				0.91	0.78	7.8
2011 TX8				0.91	0.71	6
2007 US12				0.91	0.51	8.8
-216523				0.91	0.41	5.2
1999 LK1				0.91	0.33	11.9
2013 BE19				0.91	0.3	31
2015 AH				0.91	0.24	14.1
2010 JU39				0.92	0.55	36.2
2012 DJ61				0.92	0.52	53.6
-378160				0.92	0.3	11.6
-65679				0.92	0.26	1.3
-414286				0.92	0.2	21.8
2010 VD72				0.92	0.18	19.2
(99942) Apophis				0.92	0.19	3.3
-5604				0.93	0.41	4.7
2009 EP2				0.93	0.36	27.7
2003 YS17				0.93	0.31	6.5
-380636				0.93	0.27	10.7
-208023				0.93	0.24	6.5
-325395				0.93	0.09	18.7
-403775				0.94	0.68	5.5
-413577				0.94	0.57	14.3
2009 BE58				0.94	0.56	1.9
2007 LB15				0.94	0.4	25.2
-450300				0.94	0.34	6.2
-234145				0.94	0.32	5.4
2009 BL71				0.94	0.27	5.6
-329437				0.94	0.24	6.9
2008 EE5				0.94	0.07	44.8
2015 VO66				0.95	0.6	14
2006 TS7				0.95	0.58	5.5
2004 MD6				0.95	0.56	29.3
-312070				0.95	0.51	22.6
2006 SF6				0.95	0.28	5.9
-162421				0.95	0.12	22.3
2013 NV				0.96	0.51	29.3
2013 QJ10				0.96	0.43	18.1
-68347				0.96	0.38	17.1
-437841				0.96	0.31	7.8
2014 YQ15				0.96	0.24	10.9
2006 GB				0.96	0.18	10.1
-199003				0.96	0.15	21.6
-341843				0.96	0.08	7.4
2011 DV				0.96	0.05	10.6
-144900				0.97	0.66	36.3
2014 WT202				0.97	0.06	23.4
2006 AM4				0.98	0.65	4.1
-141432				0.98	0.43	2.5
(3362) Khufu				0.99	0.47	9.9
-164202				0.99	0.28	4.7
-281375				0.99	0.25	7.2
-365424				0.99	0.17	21.5
